hERG_IC50,hERG_h,hERG_Bmax
1311,0.9126,95.08
1308,0.9136,95.03
1311,0.9128,95.07
1310,0.9128,95.04
1310,0.914,95.04
1310,0.9138,95.04
1309,0.9144,95.03
1310,0.9139,95.03
1309,0.9137,95.02
1309,0.914,95.03
1309,0.9131,95.06
1311,0.9128,95.07
1309,0.9134,95.05
1311,0.9129,95.06
1308,0.9142,95.02
1308,0.914,95
1309,0.9151,95
1312,0.9132,95.07
1310,0.9137,95.05
1313,0.9129,95.1
1310,0.9137,95.06
1309,0.9139,95.04
1310,0.9129,95.06
1309,0.9138,95.04
1311,0.9131,95.06
1311,0.914,95.06
1311,0.9139,95.05
1311,0.9137,95.06
1313,0.9133,95.08
1309,0.9144,95.05
1310,0.9131,95.04
1308,0.9138,95.03
1309,0.9135,95.03
1312,0.9129,95.09
1310,0.9132,95.05
1310,0.9133,95.04
1311,0.9135,95.06
1309,0.914,95.03
1309,0.9132,95.04
1311,0.9133,95.06
1308,0.9143,95
1308,0.9138,95.02
1310,0.9128,95.07
1310,0.9132,95.07
1308,0.9136,95.02
1309,0.9143,95.05
1310,0.914,95.05
1311,0.9132,95.06
1310,0.9129,95.07
1309,0.9132,95.03
1311,0.9128,95.08
1311,0.9136,95.08
1310,0.9144,95.04
1310,0.9144,95.03
1309,0.914,95.04
1311,0.9137,95.06
1308,0.9142,95.03
1309,0.9131,95.06
1310,0.9128,95.06
1311,0.9141,95.05
1308,0.9141,95.02
1308,0.9138,95.03
1311,0.914,95.06
1311,0.9134,95.06
1310,0.9133,95.06
1311,0.9123,95.07
1311,0.9127,95.08
1310,0.9145,95.02
1312,0.9119,95.09
1309,0.9138,95.04
1309,0.9139,95.03
1308,0.9137,95.02
1309,0.9143,95.03
1308,0.9137,95.04
1309,0.9141,95.03
1309,0.9136,95.01
1309,0.914,95.03
1310,0.9129,95.07
1310,0.9134,95.06
1310,0.914,95.05
1310,0.9132,95.05
1310,0.9137,95.04
1309,0.9144,95.02
1309,0.914,95.03
1311,0.9131,95.06
1310,0.9138,95.06
1311,0.9129,95.06
1312,0.9137,95.06
1307,0.9148,94.98
1308,0.9154,94.99
1308,0.9145,95
1308,0.9139,95.01
1311,0.9127,95.06
1309,0.9147,95.03
1311,0.9138,95.06
1309,0.9139,95.03
1311,0.9137,95.06
1311,0.9129,95.07
1311,0.9137,95.06
1309,0.9133,95.03
1309,0.9133,95.04
1310,0.9136,95.05
1310,0.9145,95.04
1309,0.914,95.04
1311,0.9128,95.08
1309,0.9137,95.05
1309,0.914,95.04
1310,0.9138,95.04
1311,0.913,95.07
1311,0.9129,95.07
1310,0.9134,95.06
1312,0.9131,95.07
1309,0.9134,95.05
1310,0.9133,95.06
1310,0.9144,95.03
1311,0.9143,95.06
1310,0.9142,95.05
1309,0.9143,95.03
1310,0.9131,95.06
1310,0.9136,95.05
1311,0.9123,95.08
1310,0.9125,95.06
1310,0.9144,95.03
1308,0.914,95.01
1311,0.9129,95.05
1309,0.9137,95.01
1310,0.9134,95.04
1309,0.9145,95.02
1311,0.9131,95.06
1310,0.9134,95.05
1310,0.9137,95.03
1310,0.9138,95.04
1309,0.9131,95.05
1310,0.9132,95.02
1309,0.9135,95.04
1311,0.9138,95.07
1310,0.9126,95.05
1310,0.9139,95.03
1310,0.9132,95.06
1309,0.9143,95.04
1307,0.9156,95
1309,0.9145,95.02
1309,0.9137,95.04
1310,0.9145,95.04
1309,0.9141,95.04
1312,0.9122,95.07
1310,0.9142,95.04
1308,0.914,95
1310,0.9134,95.05
1310,0.9136,95.04
1310,0.9129,95.05
1311,0.9132,95.06
1309,0.9133,95.05
1311,0.9147,95.03
1310,0.9141,95.04
1309,0.9136,95.04
1309,0.9142,95.04
1310,0.9143,95.03
1309,0.9146,95.01
1309,0.9139,95.04
1312,0.9136,95.07
1311,0.9139,95.04
1312,0.9122,95.08
1310,0.9139,95.06
1309,0.9149,95.03
1311,0.9131,95.07
1311,0.9136,95.06
1308,0.9136,95.02
1309,0.9134,95.03
1307,0.9148,95
1310,0.9148,95.04
1308,0.915,95.01
1309,0.9138,95.03
1309,0.9148,95.01
1309,0.9138,95.03
1311,0.9134,95.05
1309,0.9145,95.02
1310,0.9138,95.05
1311,0.913,95.08
1311,0.9131,95.06
1309,0.9137,95.04
1309,0.9141,95.03
1308,0.9144,95.01
1309,0.9135,95
1310,0.9134,95.04
1309,0.9136,95.03
1310,0.9135,95.05
1312,0.9125,95.09
1310,0.9128,95.07
1309,0.9141,95.03
1311,0.9137,95.05
1310,0.9147,95.02
1310,0.9139,95.05
1311,0.9126,95.07
1309,0.9134,95.05
1311,0.913,95.07
1309,0.9141,95.03
1307,0.9143,95.02
1310,0.9131,95.05
1310,0.9143,95.04
1308,0.9143,95.01
1311,0.9129,95.06
1311,0.9123,95.07
1309,0.9139,95.02
1311,0.9133,95.07
1309,0.9141,95.05
1310,0.915,95.05
1310,0.9148,95.06
1311,0.9132,95.06
1311,0.9134,95.06
1312,0.9137,95.06
1310,0.9142,95.03
1311,0.9137,95.05
1312,0.9131,95.06
1309,0.9128,95.03
1311,0.9128,95.05
1310,0.9145,95.03
1310,0.9137,95.07
1309,0.9138,95.04
1310,0.914,95.04
1310,0.9136,95.05
1311,0.9135,95.08
1307,0.9149,95.01
1310,0.9139,95.06
1311,0.9136,95.05
1308,0.9143,95.01
1310,0.9128,95.04
1312,0.9123,95.08
1310,0.9134,95.04
1310,0.9143,95.05
1309,0.9139,95.05
1310,0.9147,95.03
1310,0.913,95.04
1311,0.9132,95.04
1312,0.9142,95.05
1310,0.9143,95.03
1308,0.914,95.03
1311,0.9131,95.07
1311,0.9133,95.05
1310,0.9136,95.05
1310,0.9143,95.02
1309,0.9146,95.02
1312,0.9131,95.07
1309,0.9146,95.02
1311,0.9127,95.07
1309,0.9134,95.05
1309,0.9135,95.04
1310,0.9131,95.05
1310,0.9146,95.04
1309,0.9143,95
1308,0.914,95.03
1310,0.9142,95.03
1311,0.914,95.05
1309,0.9136,95.04
1310,0.9141,95.05
1311,0.9131,95.06
1310,0.9131,95.08
1310,0.9128,95.06
1310,0.9135,95.05
1309,0.914,95.03
1308,0.9148,95
1310,0.9144,95.02
1308,0.9145,95
1309,0.9134,95.06
1310,0.9138,95.07
1308,0.9131,95.05
1309,0.9128,95.06
1309,0.9136,95.05
1311,0.9127,95.06
1309,0.9134,95.05
1310,0.9146,95.04
1311,0.9142,95.04
1309,0.9129,95.03
1309,0.9132,95.03
1309,0.9129,95.04
1309,0.9129,95.06
1308,0.9138,95.04
1310,0.9137,95.03
1310,0.9141,95.02
1312,0.9127,95.08
1309,0.9142,95.03
1310,0.9141,95.06
1313,0.9123,95.08
1308,0.9147,95.02
1310,0.914,95.03
1310,0.913,95.07
1310,0.9121,95.07
1308,0.9136,95.03
1311,0.9128,95.07
1311,0.9132,95.05
1309,0.9139,95.04
1310,0.9129,95.07
1309,0.913,95.07
1309,0.914,95.06
1308,0.9145,95.01
1309,0.9138,95.07
1310,0.9136,95.05
1310,0.9129,95.06
1311,0.9138,95.05
1309,0.914,95.03
1310,0.9137,95.04
1310,0.9124,95.06
1310,0.9139,95.04
1311,0.9133,95.07
1311,0.9137,95.04
1310,0.9131,95.04
1311,0.913,95.07
1310,0.9129,95.04
1310,0.9138,95.05
1310,0.9138,95.04
1311,0.9133,95.05
1309,0.9136,95.03
1309,0.9144,95.02
1309,0.9135,95.02
1310,0.9137,95.05
1310,0.9129,95.06
1310,0.9131,95.06
1310,0.9142,95.04
1311,0.9132,95.07
1309,0.9135,95.03
1309,0.9141,95.02
1312,0.9133,95.07
1311,0.913,95.08
1309,0.914,95.02
1310,0.9148,95.02
1307,0.9146,95
1309,0.9136,95.03
1310,0.9135,95.05
1311,0.9136,95.07
1309,0.914,95.03
1310,0.9125,95.06
1311,0.9134,95.05
1311,0.914,95.03
1310,0.9131,95.05
1311,0.9135,95.06
1310,0.9137,95.05
1312,0.9131,95.07
1309,0.9145,95.02
1311,0.9131,95.06
1310,0.9129,95.06
1310,0.9142,95.04
1311,0.9139,95.06
1311,0.9137,95.05
1310,0.9146,95.03
1307,0.9147,95.02
1309,0.9148,95.04
1312,0.9133,95.07
1312,0.9119,95.12
1311,0.9122,95.06
1308,0.9143,95.01
1309,0.9139,95.03
1311,0.9129,95.06
1310,0.913,95.05
1311,0.9128,95.05
1310,0.9143,95.04
1308,0.9146,95.02
1309,0.9142,95.04
1308,0.9136,95.01
1307,0.9148,94.98
1310,0.9132,95.04
1310,0.9133,95.03
1311,0.9138,95.05
1311,0.9138,95.06
1312,0.9124,95.07
1310,0.9139,95.05
1308,0.9144,95
1312,0.9126,95.09
1311,0.9132,95.05
1311,0.9135,95.06
1311,0.9136,95.04
1311,0.9138,95.06
1311,0.9138,95.05
1310,0.9132,95.05
1308,0.9144,95.04
1309,0.9137,95.02
1310,0.9134,95.04
1309,0.9141,95.03
1309,0.914,95.03
1311,0.9135,95.05
1310,0.9141,95.04
1310,0.9134,95.05
1310,0.9134,95.06
1311,0.9136,95.06
1309,0.9137,95.04
1311,0.9131,95.07
1311,0.9133,95.07
1311,0.913,95.07
1311,0.9137,95.06
1311,0.913,95.03
1310,0.9143,95.04
1308,0.9143,95.03
1309,0.914,95.05
1310,0.9124,95.06
1309,0.9143,95
1310,0.9129,95.06
1310,0.9136,95.05
1310,0.9141,95.05
1311,0.9136,95.05
1312,0.913,95.08
1311,0.9128,95.08
1312,0.9132,95.06
1311,0.9135,95.04
1311,0.9136,95.04
1308,0.9147,95.01
1310,0.9146,95.02
1310,0.9138,95.03
1309,0.9133,95.03
1309,0.9137,95.02
1309,0.9136,95.03
1310,0.9128,95.07
1309,0.9133,95.05
1310,0.9122,95.07
1309,0.9122,95.05
1309,0.913,95.04
1309,0.9143,95.03
1311,0.9138,95.07
1310,0.9139,95.05
1311,0.9129,95.06
1310,0.9135,95.03
1309,0.9138,95.03
1310,0.9129,95.07
1310,0.9134,95.05
1309,0.9136,95.05
1310,0.9129,95.08
1310,0.9138,95.05
1310,0.9146,95.03
1308,0.9145,95
1310,0.9137,95.04
1309,0.9142,95.02
1311,0.9137,95.03
1310,0.9141,95.05
1310,0.9142,95.04
1309,0.9137,95.03
1309,0.9142,95.04
1308,0.9145,95.02
1309,0.914,95.03
1307,0.9145,94.99
1309,0.9138,95.03
1308,0.915,95.03
1310,0.9136,95.05
1310,0.9134,95.06
1310,0.914,95.05
1311,0.9132,95.06
1310,0.9139,95.05
1309,0.9143,95.02
1309,0.9146,95.02
1309,0.9135,95.04
1308,0.9143,95.03
1311,0.9132,95.05
1311,0.9129,95.04
1309,0.9137,95.02
1309,0.9146,95.02
1309,0.9139,95.02
1310,0.9132,95.05
1311,0.9133,95.07
1312,0.9134,95.08
1313,0.9129,95.08
1310,0.9133,95.05
1310,0.9137,95.03
1308,0.9139,95.01
1310,0.9137,95.04
1309,0.9129,95.05
1309,0.9136,95.03
1310,0.9133,95.05
1310,0.914,95.04
1312,0.9125,95.1
1313,0.9128,95.09
1311,0.9125,95.07
1309,0.9143,95.02
1309,0.9138,95.03
1311,0.9137,95.05
1310,0.9136,95.06
1309,0.9144,95.03
1309,0.9137,95.01
1310,0.9128,95.06
1310,0.9131,95.07
1310,0.9138,95.06
1310,0.9134,95.04
1310,0.9143,95.02
1310,0.9137,95.05
1312,0.9126,95.07
1311,0.9134,95.03
1309,0.913,95.03
1310,0.9135,95.02
1309,0.913,95.06
1308,0.9142,95.03
1310,0.9148,95.03
1309,0.9133,95.06
1311,0.9138,95.06
1311,0.9128,95.08
1309,0.9139,95.03
1310,0.9133,95.05
1311,0.9132,95.05
1310,0.9137,95.03
1310,0.914,95.02
1309,0.9131,95.03
1309,0.9137,95.03
1309,0.9133,95.02
1311,0.9131,95.08
1311,0.9136,95.02
1309,0.9144,95.04
1310,0.9139,95.04
1309,0.9143,95.02
1309,0.9138,95.03
1310,0.9138,95.05
1311,0.9137,95.03
1312,0.9133,95.05
1309,0.9137,95.04
1309,0.9141,95.01
1310,0.9137,95.05
1312,0.9132,95.09
1311,0.9138,95.04
1310,0.9135,95.05
1309,0.9138,95.06
1308,0.9151,95.02
1309,0.914,95.02
1309,0.9142,95.01
1308,0.9148,95
1311,0.9143,95.04
1312,0.9133,95.05
1308,0.9146,95.02
1309,0.9143,95.02
1308,0.9145,95.01
1310,0.9135,95.04
1311,0.9131,95.05
1311,0.9145,95.03
1311,0.9142,95.07
1311,0.9131,95.08
1310,0.9141,95.02
1309,0.9134,95.03
1309,0.9147,95.01
1309,0.9138,95.04
1312,0.9141,95.06
1309,0.9143,95
1311,0.9129,95.07
1310,0.9146,95.02
1310,0.9141,95.03
1312,0.9138,95.07
1309,0.9141,95.03
1309,0.9141,95.03
1309,0.9134,95.05
1309,0.9141,95.02
1309,0.9139,95.03
1311,0.9124,95.06
1311,0.9135,95.05
1311,0.9138,95.05
1311,0.9135,95.05
1310,0.9135,95.05
1309,0.9141,95.02
1310,0.9134,95.05
1310,0.9126,95.05
1309,0.9131,95.04
1309,0.9132,95.05
1311,0.9132,95.06
1311,0.9134,95.05
1309,0.9142,95.03
1309,0.9137,95.04
1310,0.9135,95.06
1309,0.9138,95.03
1309,0.9139,95.01
1309,0.9138,95.04
1311,0.9128,95.07
1311,0.9135,95.08
1309,0.914,95.06
1310,0.9141,95.05
1310,0.9133,95.06
1311,0.9128,95.06
1310,0.9135,95.04
1308,0.9143,95.01
1311,0.9138,95.04
1311,0.9134,95.06
1311,0.9136,95.05
1311,0.9134,95.06
1309,0.9133,95.05
1309,0.9138,95.02
1310,0.914,95.05
1310,0.9139,95.05
1310,0.9133,95.05
1311,0.9133,95.06
1310,0.9137,95.04
1310,0.9139,95.03
1310,0.9135,95.05
1310,0.9145,95.01
1312,0.9135,95.06
1310,0.9135,95.04
1309,0.9138,95.05
1308,0.9131,95.04
1310,0.9135,95.04
1311,0.9127,95.05
1310,0.9143,95.06
1311,0.9132,95.08
1309,0.9139,95.04
1309,0.9137,95.05
1310,0.9127,95.07
1310,0.9132,95.07
1309,0.9141,95.03
1310,0.9132,95.06
1309,0.9144,95.03
1310,0.9138,95.04
1310,0.9136,95.04
1311,0.9131,95.07
1312,0.9128,95.09
1311,0.9136,95.09
1311,0.9136,95.06
1310,0.9143,95.03
1309,0.9143,95.02
1308,0.9137,95.03
1310,0.9139,95.05
1309,0.9141,95.05
1311,0.9137,95.04
1310,0.9134,95.02
1309,0.914,95.03
1310,0.9142,95.05
1312,0.913,95.06
1310,0.9139,95.05
1308,0.9139,95
1311,0.9132,95.06
1310,0.914,95.04
1310,0.9127,95.06
1311,0.9128,95.05
1310,0.913,95.03
1310,0.9143,95.03
1309,0.9143,95.03
1310,0.9134,95.05
1310,0.9132,95.06
1308,0.914,95.04
1311,0.9131,95.06
1310,0.9141,95.02
1309,0.9145,95.01
1310,0.9139,95.04
1310,0.914,95.05
1309,0.9146,95.03
1311,0.9123,95.07
1310,0.9136,95.03
1309,0.9132,95.03
1311,0.9131,95.07
1312,0.9133,95.09
1312,0.9139,95.07
1310,0.9137,95.04
1310,0.9136,95.04
1310,0.9136,95.03
1309,0.9133,95.04
1311,0.9125,95.06
1311,0.9137,95.03
1308,0.9145,95
1306,0.9142,94.99
1310,0.9128,95.04
1310,0.9141,95.03
1310,0.9142,95.05
1310,0.9145,95.04
1311,0.9135,95.05
1308,0.9145,95
1311,0.9132,95.05
1311,0.9131,95.06
1311,0.9142,95.04
1311,0.9134,95.05
1310,0.9136,95.05
1307,0.9133,95.02
1307,0.914,95.01
1309,0.9148,95.01
1309,0.914,95.03
1309,0.9137,95.05
1310,0.9136,95.06
1308,0.9139,95.04
1311,0.9125,95.07
1312,0.9126,95.08
1308,0.9142,95.02
1311,0.9137,95.06
1311,0.9136,95.04
1310,0.9133,95.04
1309,0.9143,95.02
1312,0.914,95.07
1313,0.913,95.09
1311,0.914,95.07
1310,0.9144,95.05
1309,0.9149,95.02
1308,0.9151,95.02
1309,0.9134,95.04
1309,0.9131,95.04
1309,0.9139,95.04
1309,0.9136,95.04
1311,0.9136,95.05
1309,0.9147,95.03
1310,0.9126,95.06
1312,0.9128,95.1
1313,0.9133,95.09
1312,0.9136,95.06
1312,0.9133,95.07
1311,0.9125,95.07
1312,0.9132,95.05
1310,0.913,95.03
1309,0.9127,95.06
1311,0.9136,95.07
1309,0.914,95.04
1311,0.9133,95.06
1311,0.9131,95.06
1310,0.9135,95.06
1311,0.913,95.07
1310,0.9138,95.06
1311,0.9136,95.07
1311,0.9135,95.08
1309,0.9137,95.04
1310,0.914,95.02
1310,0.914,95.03
1310,0.9139,95.04
1310,0.9139,95.04
1309,0.9141,95.04
1310,0.9141,95.03
1310,0.9135,95.03
1309,0.9135,95.04
1310,0.9138,95.05
1309,0.9136,95.02
1309,0.9137,95.04
1309,0.9141,95.03
1308,0.9146,95.01
1308,0.915,95
1310,0.9135,95.05
1310,0.9136,95.04
1310,0.9133,95.05
1310,0.9127,95.08
1310,0.9137,95.04
1310,0.9135,95.04
1310,0.9142,95.02
1312,0.9117,95.07
1311,0.9119,95.06
1310,0.9131,95.03
1309,0.914,95.02
1309,0.9135,95.02
1312,0.913,95.07
1311,0.9133,95.07
1312,0.9133,95.06
1308,0.9142,95.01
1310,0.9134,95.04
1310,0.9145,95.05
1312,0.9126,95.06
1311,0.9134,95.05
1311,0.9138,95.05
1311,0.9135,95.06
1311,0.9133,95.07
1310,0.9134,95.08
1311,0.9134,95.05
1308,0.9141,95.03
1312,0.9132,95.1
1311,0.9146,95.08
1310,0.9136,95.07
1309,0.9133,95.04
1309,0.9132,95.04
1310,0.9133,95.04
1310,0.914,95.03
1311,0.9133,95.04
1310,0.9131,95.04
1310,0.9138,95.03
1309,0.9146,95.02
1310,0.914,95.03
1311,0.9141,95.04
1311,0.9148,95.03
1311,0.9135,95.05
1313,0.9121,95.07
1313,0.9119,95.08
1308,0.9137,95.01
1310,0.9128,95.04
1310,0.9139,95.02
1308,0.9138,95.01
1311,0.9135,95.05
1308,0.9143,95.01
1309,0.9133,95.02
1310,0.9134,95.02
1311,0.9131,95.05
1308,0.914,95.03
1311,0.9136,95.08
1311,0.9138,95.03
1310,0.9131,95.05
1309,0.9139,95.03
1309,0.9139,95.04
1308,0.9138,95.01
1309,0.9142,95.02
1309,0.9141,95.04
1309,0.9134,95.04
1308,0.9134,95.03
1309,0.9138,95.03
1310,0.9143,95.04
1310,0.9137,95.04
1311,0.9125,95.09
1310,0.913,95.04
1310,0.9145,95.05
1311,0.9144,95.05
1310,0.9142,95.04
1310,0.9143,95.04
1310,0.9136,95.05
1309,0.9143,95.03
1310,0.914,95.04
1307,0.9147,95.01
1312,0.9139,95.06
1311,0.9135,95.08
1310,0.9138,95.03
1312,0.9131,95.06
1311,0.9127,95.08
1310,0.913,95.06
1310,0.914,95.05
1311,0.9128,95.05
1310,0.9133,95.05
1313,0.9119,95.09
1313,0.9127,95.09
1311,0.9135,95.07
1310,0.9135,95.03
1309,0.9146,95.03
1313,0.9141,95.04
1309,0.9151,94.98
1309,0.9136,95.03
1310,0.9127,95.04
1309,0.9142,95.01
1308,0.9139,95
1308,0.9137,95.02
1308,0.9148,95
1310,0.914,95.02
1310,0.9133,95.02
1311,0.9128,95.07
1310,0.9133,95.06
1309,0.9141,95.02
1308,0.9145,95
1310,0.914,95.04
1311,0.9135,95.07
1310,0.9131,95.07
1309,0.9146,95.04
1309,0.9149,95
1308,0.9138,95.02
1310,0.9129,95.06
1309,0.913,95.05
1309,0.9137,95.03
1312,0.9134,95.05
1309,0.9138,95.04
1311,0.9138,95.05
1308,0.9139,95.02
1309,0.914,95.02
1313,0.9133,95.09
1311,0.9137,95.07
1310,0.9138,95.06
1310,0.9137,95.05
1311,0.9141,95.08
1311,0.9125,95.09
1312,0.9124,95.09
1310,0.9129,95.07
1307,0.9146,94.99
1309,0.9144,95.02
1310,0.9139,95.04
1311,0.914,95.04
1310,0.9131,95.06
1309,0.9131,95.04
1311,0.9141,95.04
1310,0.9133,95.05
1311,0.9135,95.08
1310,0.9136,95.06
1311,0.9142,95.04
1309,0.9142,95.03
1310,0.9137,95.04
1309,0.9142,95.03
1310,0.9133,95.06
1310,0.9132,95.06
1310,0.9137,95.03
1308,0.9137,95.02
1311,0.9137,95.05
1310,0.9136,95.04
1310,0.9135,95.04
1309,0.9147,95.02
1310,0.9143,95.06
1308,0.9138,95.03
1309,0.9139,95.01
1310,0.9133,95.06
1310,0.9137,95.05
1309,0.914,95.04
1310,0.9139,95.04
1310,0.9139,95.05
1309,0.9146,95.04
1309,0.9147,95.04
1308,0.9134,95.04
1309,0.9137,95.04
1310,0.9133,95.05
1307,0.914,95.02
1311,0.9135,95.05
1308,0.9141,95.01
1311,0.9127,95.08
1312,0.9128,95.08
1309,0.9138,95.05
1310,0.9134,95.03
1308,0.9142,95.02
1308,0.9144,95.01
1309,0.9141,95.03
1309,0.9143,95.02
1310,0.9137,95.05
1310,0.9135,95.03
1310,0.9132,95.06
1308,0.9144,95.03
1310,0.9134,95.06
1311,0.9135,95.04
1310,0.9132,95.06
1310,0.9131,95.06
1310,0.913,95.05
1308,0.9132,95.02
1309,0.9144,95.05
1307,0.915,95
1309,0.9147,95
1308,0.9141,95.04
1310,0.9144,95.04
1311,0.9136,95.04
1307,0.9142,94.97
1311,0.9134,95.04
1310,0.914,95.04
1310,0.9142,95.06
1311,0.9143,95.04
1311,0.9133,95.06
