hERG_IC50,hERG_h,hERG_Bmax
1247,0.8439,70
1246,0.8388,70
1246,0.8399,70
1249,0.84,70
1244,0.8425,70
1246,0.8403,70
1248,0.8412,70
1250,0.8391,70
1248,0.8417,70
1247,0.8409,70
1248,0.8416,70
1248,0.841,70
1247,0.8416,70
1246,0.8407,70
1246,0.8394,70
1246,0.8358,70
1251,0.8424,70
1252,0.8459,70
1248,0.8435,70
1248,0.8426,70
1246,0.8429,70
1246,0.8384,70
1249,0.842,70
1245,0.8391,70
1248,0.8415,70
1248,0.8386,70
1252,0.838,70
1250,0.8409,70
1256,0.8408,70
1252,0.8412,70
1249,0.8436,70
1249,0.8407,70
1250,0.8384,70
1248,0.8424,70
1247,0.8422,70
1248,0.8404,70
1249,0.8442,70
1251,0.8396,70
1249,0.8405,70
1249,0.8426,70
1246,0.8423,70
1249,0.8403,70
1249,0.8405,70
1253,0.8388,70
1248,0.8412,70
1251,0.8388,70
1245,0.844,70
1254,0.8419,70
1253,0.8421,70
1254,0.8415,70
1257,0.8409,70
1249,0.8395,70
1243,0.8413,70
1246,0.8415,70
1246,0.8457,70
1250,0.8433,70
1247,0.8406,70
1248,0.8436,70
1246,0.8422,70
1243,0.8413,70
1246,0.8378,70
1246,0.8392,70
1248,0.842,70
1250,0.8422,70
1250,0.8397,70
1247,0.8407,70
1252,0.8403,70
1249,0.84,70
1248,0.8393,70
1252,0.8426,70
1246,0.8414,70
1245,0.8427,70
1243,0.8405,70
1245,0.8435,70
1251,0.8392,70
1246,0.8381,70
1246,0.8412,70
1250,0.8403,70
1249,0.8403,70
1247,0.8402,70
1243,0.8406,70
1248,0.8445,70
1248,0.8391,70
1248,0.8426,70
1253,0.8423,70
1244,0.8396,70
1246,0.8417,70
1246,0.8439,70
1244,0.8396,70
1245,0.8431,70
1245,0.8438,70
1246,0.8397,70
1252,0.8416,70
1248,0.8406,70
1245,0.8416,70
1247,0.8413,70
1252,0.8419,70
1252,0.84,70
1248,0.8419,70
1249,0.8392,70
1250,0.8436,70
1247,0.8403,70
1250,0.8431,70
1246,0.8469,70
1243,0.8361,70
1251,0.8417,70
1248,0.8453,70
1254,0.8406,70
1252,0.8408,70
1250,0.8433,70
1245,0.8428,70
1247,0.8393,70
1248,0.838,70
1247,0.842,70
1251,0.841,70
1250,0.841,70
1249,0.8406,70
1248,0.8398,70
1253,0.845,70
1255,0.8431,70
1252,0.8411,70
1249,0.8389,70
1250,0.8427,70
1246,0.8398,70
1251,0.845,70
1242,0.8391,70
1243,0.8407,70
1247,0.8438,70
1248,0.8412,70
1244,0.8403,70
1246,0.8446,70
1251,0.8451,70
1252,0.8409,70
1249,0.84,70
1248,0.8393,70
1251,0.8442,70
1249,0.8424,70
1249,0.842,70
1247,0.8416,70
1249,0.8395,70
1250,0.8408,70
1252,0.8404,70
1251,0.8379,70
1248,0.8381,70
1248,0.8382,70
1244,0.8398,70
1244,0.8409,70
1243,0.8431,70
1248,0.8416,70
1249,0.843,70
1254,0.8435,70
1250,0.8361,70
1243,0.8403,70
1244,0.8397,70
1244,0.8406,70
1243,0.8441,70
1243,0.8443,70
1246,0.8389,70
1249,0.8387,70
1244,0.84,70
1244,0.8411,70
1247,0.8419,70
1247,0.8389,70
1246,0.8398,70
1246,0.8414,70
1255,0.8418,70
1253,0.8454,70
1243,0.8418,70
1242,0.8408,70
1247,0.8409,70
1251,0.8385,70
1247,0.8389,70
1246,0.8392,70
1247,0.8414,70
1245,0.8408,70
1242,0.8425,70
1242,0.838,70
1247,0.8419,70
1246,0.8427,70
1249,0.8402,70
1250,0.8389,70
1248,0.8426,70
1250,0.8392,70
1243,0.8353,70
1243,0.8393,70
1244,0.8425,70
1251,0.838,70
1248,0.8413,70
1247,0.8437,70
1246,0.8423,70
1248,0.838,70
1247,0.8374,70
1248,0.8365,70
1248,0.8381,70
1244,0.8369,70
1247,0.8417,70
1251,0.8429,70
1249,0.8387,70
1249,0.8412,70
1249,0.8427,70
1250,0.8464,70
1252,0.8449,70
1253,0.8421,70
1247,0.8448,70
1245,0.8461,70
1244,0.8404,70
1244,0.8393,70
1250,0.8428,70
1252,0.8419,70
1247,0.84,70
1245,0.8412,70
1244,0.8429,70
1245,0.8425,70
1243,0.8382,70
1249,0.8369,70
1245,0.8348,70
1250,0.8387,70
1251,0.8372,70
1251,0.839,70
1253,0.8423,70
1249,0.8391,70
1251,0.8435,70
1255,0.8418,70
1253,0.8417,70
1243,0.8388,70
1247,0.8361,70
1246,0.8364,70
1244,0.838,70
1243,0.8423,70
1243,0.8404,70
1245,0.8418,70
1244,0.8404,70
1248,0.8398,70
1248,0.8417,70
1246,0.84,70
1244,0.8394,70.01
1248,0.8376,70
1243,0.8441,70
1245,0.8424,70
1253,0.8428,70
1248,0.8393,70
1247,0.8398,70
1247,0.8405,70
1247,0.8408,70
1247,0.8382,70
1250,0.8403,70
1246,0.8389,70
1248,0.8392,70
1246,0.843,70
1245,0.8371,70
1245,0.8363,70
1244,0.8374,70
1243,0.8378,70
1238,0.8347,70
1239,0.8393,70
1242,0.84,70
1247,0.8383,70
1248,0.8387,70
1244,0.8415,70
1244,0.8433,70
1245,0.8408,70
1247,0.8425,70
1242,0.8428,70
1243,0.8406,70
1247,0.8406,70
1245,0.8407,70
1246,0.8326,70
1252,0.8416,70
1249,0.8409,70
1248,0.8384,70
1247,0.8373,70
1253,0.837,70.01
1245,0.844,70.01
1242,0.8386,70
1245,0.8426,70
1244,0.8403,70
1245,0.8404,70
1250,0.8407,70
1248,0.8373,70
1253,0.8409,70
1249,0.8447,70
1248,0.8399,70
1252,0.8425,70
1250,0.842,70
1251,0.8413,70
1247,0.8396,70
1248,0.8389,70
1244,0.8398,70
1243,0.8427,70
1241,0.8425,70
1247,0.8382,70
1245,0.8383,70
1247,0.8379,70
1244,0.837,70
1244,0.8421,70
1245,0.8428,70
1245,0.84,70
1243,0.8419,70
1243,0.8439,70
1240,0.841,70
1244,0.839,70
1248,0.8367,70
1248,0.8403,70
1247,0.842,70
1242,0.8398,70
1246,0.8417,70
1245,0.8391,70
1248,0.838,70
1244,0.8398,70
1245,0.8417,70
1248,0.8381,70
1246,0.838,70
1247,0.842,70
1248,0.8396,70
1246,0.8386,70
1250,0.84,70
1250,0.8417,70
1239,0.8352,70
1240,0.8394,70
1245,0.839,70
1245,0.8329,70
1250,0.8414,70
1250,0.8415,70
1249,0.8419,70
1250,0.8413,70
1252,0.8432,70
1250,0.8444,70
1248,0.8406,70
1248,0.8423,70
1243,0.8396,70
1252,0.8396,70
1254,0.844,70
1254,0.8442,70
1249,0.8435,70
1245,0.8356,70
1242,0.8382,70
1242,0.8401,70
1244,0.8402,70
1244,0.8381,70
1250,0.8382,70
1248,0.8395,70
1247,0.8377,70
1244,0.8408,70
1251,0.8427,70
1249,0.8393,70
1254,0.8431,70
1250,0.8386,70
1249,0.8408,70
1251,0.8407,70
1252,0.8413,70
1256,0.8428,70
1254,0.8407,70
1247,0.8434,70
1247,0.8417,70
1253,0.8372,70
1254,0.8413,70
1248,0.8405,70
1248,0.8429,70
1253,0.8389,70
1253,0.8425,70
1247,0.8394,70
1250,0.8417,70
1246,0.8398,70
1247,0.8406,70
1250,0.8406,70
1244,0.8378,70
1251,0.8371,70
1249,0.8388,70
1248,0.8425,70
1247,0.8437,70
1251,0.8388,70
1248,0.8468,70
1247,0.8455,70
1247,0.8416,70
1250,0.8462,70
1244,0.8386,70
1248,0.8428,70
1252,0.8378,70
1254,0.8435,70
1245,0.8392,70
1247,0.8401,70
1248,0.8375,70
1252,0.8427,70
1252,0.8368,70
1244,0.8419,70
1245,0.8433,70
1253,0.8407,70
1247,0.8444,70
1249,0.8416,70
1249,0.8411,70
1250,0.843,70
1249,0.8431,70
1246,0.844,70
1243,0.8401,70
1250,0.8365,70
1250,0.8421,70
1250,0.8428,70
1252,0.8406,70
1250,0.8399,70
1247,0.8419,70
1247,0.8417,70
1246,0.8395,70
1249,0.8383,70
1247,0.8406,70
1249,0.8363,70
1248,0.8383,70
1258,0.843,70
1253,0.8387,70
1251,0.8409,70
1249,0.8387,70
1249,0.8418,70
1248,0.8424,70
1252,0.8421,70
1249,0.8416,70
1248,0.8424,70
1248,0.8406,70
1250,0.8431,70
1252,0.8415,70
1250,0.8415,70
1246,0.8383,70
1248,0.8412,70
1247,0.8415,70
1249,0.8417,70
1250,0.841,70
1252,0.8409,70
1254,0.8439,70
1253,0.8398,70
1250,0.8409,70
1245,0.8436,70
1249,0.8418,70
1248,0.8406,70
1252,0.8411,70
1246,0.8409,70
1246,0.8431,70
1244,0.8406,70
1252,0.842,70
1249,0.8394,70
1244,0.8398,70
1246,0.839,70
1245,0.8396,70
1244,0.8414,70
1244,0.8407,70
1247,0.8378,70
1248,0.8372,70
1253,0.8372,70
1255,0.8457,70
1253,0.849,70
1249,0.847,70
1246,0.8372,70
1245,0.8408,70
1240,0.8398,70
1244,0.8393,70
1249,0.8416,70.01
1251,0.8402,70
1249,0.8395,70
1248,0.8416,70
1251,0.839,70
1248,0.8408,70
1247,0.8428,70
1247,0.8398,70
1245,0.8425,70
1245,0.8377,70
1245,0.8396,70
1246,0.84,70
1244,0.8379,70
1247,0.8396,70
1245,0.8421,70
1243,0.8431,70
1249,0.8418,70
1245,0.8411,70
1247,0.8417,70
1252,0.8435,70
1247,0.8433,70
1251,0.8416,70
1247,0.8439,70
1253,0.8368,70.01
1246,0.8404,70
1246,0.8406,70
1248,0.8429,70
1248,0.841,70
1244,0.8413,70
1249,0.8404,70
1250,0.8426,70
1247,0.8399,70
1246,0.8409,70
1246,0.8424,70
1247,0.8406,70
1246,0.8389,70
1247,0.8458,70
1249,0.8423,70
1250,0.8417,70
1248,0.8387,70
1250,0.8372,70
1243,0.8422,70
1246,0.8399,70
1246,0.8375,70
1244,0.8399,70
1246,0.8406,70
1245,0.8406,70.01
1254,0.84,70
1249,0.8357,70
1250,0.8377,70
1245,0.8378,70
1249,0.8405,70
1252,0.8416,70
1252,0.8408,70
1251,0.8402,70
1251,0.8451,70
1245,0.8381,70
1244,0.8387,70
1248,0.8359,70
1250,0.8398,70
1245,0.8411,70
1248,0.8404,70
1244,0.8338,70
1249,0.8386,70
1246,0.8371,70
1243,0.8377,70
1243,0.8387,70
1249,0.8394,70
1248,0.8397,70
1249,0.8386,70
1250,0.8398,70
1248,0.8446,70
1249,0.8413,70
1243,0.842,70
1252,0.8385,70
1253,0.8396,70
1249,0.8438,70
1253,0.8421,70
1249,0.8384,70
1251,0.838,70
1245,0.8389,70
1246,0.8403,70
1249,0.8407,70
1249,0.8401,70
1247,0.842,70
1252,0.8416,70
1243,0.839,70
1242,0.8378,70
1249,0.8396,70
1249,0.8428,70
1253,0.8438,70
1248,0.8401,70
1246,0.8414,70
1246,0.8375,70
1250,0.8412,70
1246,0.8388,70
1246,0.8407,70
1247,0.8421,70
1247,0.8428,70
1239,0.8416,70
1243,0.8393,70
1246,0.8434,70
1243,0.8389,70
1252,0.8415,70
1247,0.8408,70
1247,0.8396,70
1254,0.8396,70
1252,0.8383,70
1254,0.8417,70
1253,0.8428,70
1250,0.8421,70
1248,0.8394,70
1250,0.8419,70
1251,0.8424,70
1246,0.8422,70
1249,0.8395,70
1245,0.8391,70
1247,0.8409,70
1248,0.8418,70
1248,0.8419,70
1247,0.8427,70
1249,0.8419,70
1248,0.8413,70
1248,0.8398,70
1248,0.8416,70
1242,0.8397,70
1250,0.8424,70
1244,0.8424,70
1246,0.842,70
1243,0.8399,70
1248,0.8388,70
1249,0.8425,70
1252,0.8422,70
1247,0.841,70
1249,0.8425,70
1249,0.8421,70
1254,0.844,70
1245,0.8411,70.01
1249,0.8378,70.01
1246,0.8367,70
1251,0.8383,70
1248,0.8435,70
1250,0.8419,70
1249,0.8436,70
1250,0.8442,70
1247,0.8401,70
1247,0.8431,70
1245,0.8419,70
1249,0.845,70
1246,0.8396,70
1249,0.8393,70
1248,0.8384,70
1249,0.8409,70
1250,0.8368,70
1246,0.8385,70
1250,0.841,70
1248,0.8424,70
1247,0.8396,70
1246,0.8385,70
1247,0.8408,70
1250,0.8454,70
1247,0.8404,70
1248,0.8406,70
1250,0.8431,70
1247,0.8396,70
1251,0.8399,70
1246,0.8392,70
1246,0.8386,70
1250,0.8404,70
1250,0.8386,70
1250,0.8378,70
1249,0.8391,70
1247,0.8422,70
1251,0.842,70
1251,0.8418,70
1247,0.8381,70
1247,0.8464,70
1244,0.8404,70
1246,0.8412,70
1248,0.8417,70
1249,0.8412,70
1250,0.8427,70
1249,0.8416,70
1244,0.8396,70
1245,0.8389,70
1242,0.8403,70
1242,0.841,70
1249,0.8385,70
1247,0.8392,70
1251,0.8433,70
1247,0.8395,70
1250,0.8392,70
1247,0.8409,70
1248,0.8397,70
1251,0.8395,70
1252,0.8412,70
1255,0.8425,70
1251,0.8451,70
1248,0.8369,70
1247,0.8396,70
1245,0.839,70
1250,0.8402,70
1249,0.8431,70
1248,0.8424,70
1249,0.8389,70
1250,0.8403,70
1246,0.8351,70
1246,0.8372,70
1249,0.842,70
1250,0.8433,70
1245,0.8388,70
1246,0.8367,70
1249,0.8412,70
1255,0.8416,70
1252,0.8403,70
1251,0.8415,70
1250,0.8403,70
1251,0.842,70
1248,0.8425,70
1247,0.8413,70
1250,0.8405,70
1251,0.8415,70
1251,0.8408,70
1247,0.8392,70
1249,0.8378,70
1243,0.8393,70
1244,0.8399,70
1242,0.8379,70
1242,0.844,70
1243,0.8437,70
1248,0.8406,70
1253,0.8414,70
1253,0.84,70
1247,0.8393,70
1250,0.8471,70
1253,0.8397,70
1248,0.8418,70
1249,0.8429,70
1252,0.8423,70
1250,0.8443,70
1248,0.8427,70
1253,0.8423,70
1250,0.8398,70
1248,0.8437,70
1250,0.8416,70
1251,0.8408,70
1248,0.8412,70
1258,0.8444,70
1251,0.8444,70
1243,0.8407,70
1254,0.8438,70
1251,0.8411,70
1254,0.8419,70
1242,0.8365,70
1242,0.8387,70
1243,0.8396,70
1245,0.8397,70
1247,0.8417,70
1249,0.8429,70
1248,0.8416,70
1244,0.8401,70
1247,0.8416,70
1249,0.8402,70
1254,0.843,70.01
1246,0.8444,70
1247,0.8422,70
1245,0.8398,70
1252,0.8377,70
1247,0.8407,70
1246,0.8435,70
1246,0.8373,70
1240,0.842,70
1241,0.8422,70
1248,0.839,70
1248,0.841,70
1250,0.8413,70
1251,0.8431,70
1250,0.8432,70
1251,0.8412,70
1254,0.8424,70
1250,0.8398,70
1249,0.8443,70
1249,0.8462,70
1245,0.8448,70
1249,0.8426,70
1245,0.8401,70
1244,0.837,70
1247,0.8391,70
1250,0.8417,70
1248,0.8397,70
1245,0.8368,70
1249,0.8419,70
1250,0.838,70
1248,0.8416,70
1243,0.8361,70
1248,0.8426,70
1249,0.8438,70
1250,0.8431,70
1252,0.8424,70
1253,0.8419,70
1244,0.8398,70
1245,0.8402,70
1243,0.8374,70
1244,0.8377,70
1242,0.8388,70
1243,0.84,70
1243,0.8382,70
1245,0.842,70
1247,0.8389,70
1249,0.841,70
1244,0.8409,70
1244,0.842,70
1244,0.8401,70
1247,0.8421,70
1249,0.8408,70
1245,0.8371,70
1251,0.8397,70
1247,0.8413,70
1248,0.8419,70
1245,0.8401,70
1245,0.8453,70
1244,0.8404,70
1248,0.8439,70
1244,0.8415,70
1248,0.8442,70
1246,0.8439,70
1244,0.8438,70
1252,0.8418,70
1248,0.8385,70
1249,0.84,70
1250,0.8397,70
1249,0.8383,70
1250,0.8407,70
1249,0.8404,70
1252,0.8422,70
1251,0.8431,70
1250,0.8387,70
1246,0.8352,70
1248,0.8386,70
1247,0.8355,70
1246,0.8407,70
1248,0.8453,70
1249,0.8427,70
1249,0.8447,70
1249,0.8418,70
1248,0.8383,70
1247,0.8406,70
1248,0.8401,70
1247,0.8409,70
1248,0.8404,70
1248,0.8414,70
1248,0.8415,70
1245,0.8405,70
1245,0.84,70
1250,0.8352,70
1247,0.8393,70
1247,0.8417,70
1252,0.8422,70
1247,0.8406,70
1250,0.8434,70
1253,0.8394,70
1250,0.8435,70
1253,0.8423,70
1245,0.8424,70
1246,0.84,70
1248,0.8366,70
1248,0.841,70
1248,0.8403,70
1249,0.8409,70
1244,0.8406,70
1243,0.8383,70
1242,0.8406,70
1242,0.8381,70
1246,0.8403,70
1248,0.8393,70
1248,0.8411,70
1248,0.8409,70
1246,0.8377,70
1244,0.8356,70
1247,0.8373,70
1245,0.8401,70
1248,0.842,70
1250,0.8423,70
1246,0.8417,70
1249,0.8439,70
1247,0.8444,70
1252,0.8385,70
1248,0.8428,70
1243,0.8424,70
1247,0.8423,70
1250,0.8433,70
1251,0.8411,70
1246,0.8373,70
1252,0.8378,70
1249,0.8431,70
1246,0.8444,70
1248,0.8405,70
1247,0.8394,70
1244,0.8419,70
1243,0.841,70
1245,0.8405,70
1250,0.8374,70
1251,0.8406,70
1243,0.8414,70
1248,0.8439,70
1249,0.8417,70
1252,0.8427,70
1252,0.8431,70
1247,0.8387,70
1252,0.8429,70
1254,0.8433,70
1255,0.8415,70
1254,0.8408,70
1248,0.8386,70
1249,0.8401,70
1249,0.8417,70
1248,0.8418,70
1245,0.8391,70
1245,0.8393,70
1246,0.8445,70
1245,0.8407,70
1245,0.8395,70
1244,0.8401,70
1242,0.8426,70
1246,0.8468,70
1248,0.8469,70
1247,0.8409,70
1249,0.8427,70
1246,0.8421,70
1242,0.8383,70
1244,0.8395,70
1251,0.8432,70
1248,0.8384,70
1243,0.8402,70
1248,0.8372,70
1248,0.8384,70
1251,0.8436,70
1251,0.8428,70
1251,0.8455,70
1245,0.8401,70
1253,0.8427,70
1249,0.8437,70
1243,0.8391,70
1245,0.8386,70
1245,0.8415,70
1249,0.8401,70
1250,0.8384,70
1246,0.8411,70
1245,0.8405,70
1244,0.8404,70
1246,0.8403,70
1256,0.8405,70
1248,0.8383,70
1248,0.8439,70
1250,0.8435,70
1253,0.8457,70
1253,0.8401,70
1245,0.8422,70
1243,0.8405,70
1245,0.8373,70
1246,0.8448,70
1246,0.8429,70
1251,0.844,70
1253,0.8421,70
1247,0.8355,70
1252,0.8408,70
1250,0.8414,70
1249,0.8416,70
1250,0.8387,70
1254,0.8425,70
1248,0.8403,70
1251,0.8392,70
1250,0.8402,70
1251,0.8425,70
1252,0.8398,70
1244,0.8388,70
1246,0.8394,70
1248,0.8371,70
1249,0.84,70
1247,0.8427,70
1249,0.8413,70
1247,0.8403,70
1248,0.8374,70
1252,0.8419,70
1249,0.8377,70
1247,0.8395,70
1246,0.8384,70
1252,0.8415,70
1251,0.84,70
1248,0.8392,70
1244,0.8404,70
1244,0.8398,70.01
1249,0.8435,70
1247,0.8386,70
1248,0.8418,70
1249,0.8439,70
1246,0.8423,70
1243,0.8387,70
1243,0.8398,70
1247,0.8389,70
1249,0.842,70
1245,0.8385,70
1248,0.8434,70
1244,0.8395,70
1241,0.8343,70
1245,0.8352,70
1250,0.8402,70
1252,0.8458,70
1245,0.8397,70
1250,0.8408,70
1245,0.8396,70
1250,0.8422,70
1254,0.8442,70
1250,0.8377,70
1251,0.8387,70
1247,0.8417,70
1244,0.8404,70
1251,0.845,70
1248,0.8375,70
1244,0.8405,70
1250,0.8414,70
1246,0.8411,70
1245,0.8414,70
1245,0.841,70
1246,0.8394,70
1246,0.8432,70
1244,0.8397,70
1245,0.8387,70
1250,0.8403,70
1249,0.8416,70
1247,0.8379,70
1251,0.8374,70
1247,0.8409,70
1245,0.8393,70
1246,0.8373,70
1248,0.8388,70
1245,0.8395,70
1245,0.8406,70
1245,0.842,70
1245,0.8407,70
1250,0.8397,70
1251,0.8404,70
1250,0.8409,70
1248,0.8418,70
1248,0.8381,70
1247,0.838,70
1248,0.8431,70
1246,0.8412,70
1248,0.842,70
1247,0.8413,70
1247,0.8366,70
1242,0.8376,70
1251,0.8415,70
1252,0.8416,70
1254,0.8425,70
1253,0.8431,70
1247,0.8388,70
1246,0.8416,70
1246,0.843,70
1249,0.8404,70
1246,0.8388,70
1248,0.8403,70
1248,0.8415,70
1242,0.8401,70
1243,0.8447,70
1246,0.841,70
1248,0.8391,70
1250,0.8403,70
1256,0.8437,70
1251,0.8431,70
1252,0.8439,70
1247,0.8458,70
1248,0.8435,70
1248,0.8439,70
1250,0.8395,70.01
1249,0.8352,70
1244,0.8377,70
1253,0.8428,70
1253,0.8402,70
1244,0.8411,70
1242,0.8406,70
1245,0.8404,70
1246,0.8407,70
1246,0.84,70
1248,0.8419,70
1242,0.8403,70
1249,0.8413,70
1246,0.8397,70
1247,0.8402,70
1247,0.8375,70
1247,0.8387,70
1246,0.8396,70
1247,0.8382,70
1242,0.8375,70
1249,0.8441,70
1249,0.8437,70
1246,0.8425,70
1241,0.8432,70
1249,0.8389,70
1249,0.8385,70
1249,0.8421,70
1246,0.8393,70
1250,0.8411,70
1247,0.8408,70
1244,0.8406,70
1248,0.8424,70
1248,0.8416,70
1246,0.839,70
1242,0.8397,70
1242,0.839,70
1248,0.8364,70
1243,0.8409,70
1247,0.8399,70
1247,0.8392,70
1248,0.838,70
1243,0.8408,70
1243,0.8358,70
1250,0.8412,70
1252,0.8408,70
1250,0.8409,70
1253,0.8382,70
1248,0.8367,70
1249,0.8409,70
1250,0.8373,70
1250,0.8414,70
1250,0.8429,70
1249,0.8419,70
1246,0.8377,70
1250,0.8376,70
1251,0.838,70
1248,0.8419,70
1247,0.8402,70
1246,0.8385,70
