hERG_IC50,hERG_h,hERG_Bmax
6333,0.94,94.87
6330,0.9403,94.85
6329,0.9405,94.84
6330,0.94,94.86
6328,0.9401,94.84
6331,0.9396,94.86
6330,0.94,94.85
6327,0.9401,94.84
6329,0.9397,94.85
6327,0.9398,94.84
6329,0.9393,94.86
6329,0.9398,94.85
6327,0.94,94.84
6327,0.9399,94.84
6329,0.9398,94.85
6331,0.9398,94.86
6327,0.9403,94.83
6329,0.9407,94.83
6331,0.9402,94.85
6326,0.9408,94.82
6329,0.9401,94.84
6331,0.9398,94.86
6334,0.9395,94.87
6331,0.94,94.86
6335,0.9392,94.89
6330,0.9401,94.85
6331,0.9394,94.87
6324,0.9408,94.81
6326,0.9407,94.83
6327,0.9404,94.83
6330,0.9401,94.85
6328,0.9406,94.84
6329,0.9404,94.84
6328,0.9407,94.83
6330,0.9402,94.85
6328,0.941,94.83
6328,0.9411,94.83
6333,0.9411,94.85
6331,0.9413,94.84
6330,0.9411,94.84
6332,0.9403,94.86
6331,0.941,94.84
6329,0.9415,94.83
6329,0.9415,94.83
6330,0.9415,94.83
6332,0.9414,94.84
6336,0.9403,94.88
6331,0.9412,94.84
6334,0.9409,94.86
6332,0.9406,94.86
6323,0.9423,94.79
6327,0.9413,94.82
6329,0.9417,94.83
6329,0.9414,94.83
6333,0.9409,94.85
6337,0.9405,94.88
6332,0.9413,94.84
6329,0.9415,94.83
6334,0.94,94.87
6331,0.94,94.86
6329,0.9402,94.85
6324,0.9408,94.81
6331,0.9398,94.86
6331,0.9404,94.85
6333,0.9404,94.86
6333,0.9414,94.85
6333,0.9415,94.85
6334,0.9414,94.85
6335,0.9414,94.86
6333,0.9416,94.84
6335,0.9406,94.87
6336,0.9406,94.87
6334,0.941,94.86
6332,0.9418,94.84
6334,0.9406,94.86
6332,0.9413,94.85
6329,0.9418,94.82
6328,0.9417,94.82
6328,0.9417,94.82
6331,0.9407,94.85
6330,0.9411,94.84
6331,0.941,94.85
6330,0.941,94.84
6328,0.9416,94.82
6333,0.9403,94.86
6332,0.9407,94.85
6330,0.9409,94.84
6330,0.9412,94.84
6329,0.9411,94.83
6330,0.941,94.84
6329,0.9411,94.83
6331,0.9406,94.85
6327,0.9408,94.83
6325,0.9412,94.81
6330,0.9409,94.84
6329,0.9414,94.83
6330,0.9409,94.84
6329,0.9409,94.84
6329,0.9405,94.84
6326,0.9416,94.81
6335,0.9405,94.87
6335,0.9409,94.86
6332,0.9411,94.85
6331,0.9412,94.84
6334,0.9402,94.87
6330,0.9415,94.83
6335,0.9408,94.87
6327,0.9419,94.82
6333,0.9411,94.85
6334,0.9405,94.87
6331,0.941,94.85
6332,0.9407,94.85
6335,0.9402,94.88
6329,0.9417,94.83
6328,0.9413,94.83
6329,0.9415,94.83
6335,0.9401,94.88
6336,0.9398,94.88
6333,0.9401,94.87
6332,0.9408,94.85
6329,0.9415,94.83
6333,0.9406,94.86
6331,0.9409,94.84
6336,0.9399,94.88
6329,0.941,94.83
6332,0.9405,94.85
6333,0.9408,94.85
6333,0.9401,94.86
6329,0.9408,94.83
6332,0.9402,94.86
6325,0.9412,94.81
6323,0.9415,94.8
6329,0.9401,94.84
6325,0.9403,94.82
6329,0.9393,94.85
6320,0.9407,94.8
6322,0.9404,94.81
6325,0.9394,94.84
6323,0.94,94.82
6328,0.9391,94.85
6327,0.9397,94.84
6321,0.9408,94.8
6325,0.9399,94.83
6323,0.9401,94.82
6323,0.9403,94.82
6325,0.9399,94.83
6321,0.9413,94.79
6320,0.9418,94.78
6330,0.9396,94.86
6333,0.9401,94.87
6328,0.9409,94.83
6326,0.9416,94.81
6332,0.9405,94.86
6334,0.9405,94.87
6329,0.9417,94.83
6336,0.9403,94.88
6337,0.9402,94.88
6333,0.9407,94.86
6334,0.9404,94.87
6331,0.9409,94.85
6334,0.9403,94.87
6328,0.9412,94.83
6332,0.9404,94.86
6334,0.9401,94.87
6327,0.9413,94.82
6335,0.9396,94.88
6327,0.941,94.83
